id,title,Transcript,vs_pos,vs_neg,vs_neu,vs_compound
0,astronomy,astronomy literally mean science study law star natural science study celestial object phenomena use mathematic physics chemistry order explain origin evolution object interest include planet moon stars nebula galaxie comment relevant phenomenon include supernova explosion gamma ray burst quay blazer pillars cosmic microwave background radiation generally astronomy study everything originate beyond earth atmosphere cosmology branch astronomy studies universe whole renaissance nicolas copernicus propose heliocentric model solar system work defend galileo galileo expand upon johannes helper helper first devise system correctly describe detail motion plan minute surround sun however helper not succeed formulate theory behind law write one old field astronomy science measurement position celestial object historically accurate knowledge position sun moon planet star essential celestial navigation use celestial object guide navigation make calendars theorist astronomy endeavor create theoretical model result predict observational consequence model observation phenomenon predict model allow astronomer see select several alternate conflict model one good able describe phenomenon origin stellar mass spectrum astronomer observe distribution stellar mass initial mass function apparently regardless initial condition deep understanding formation star planet need amateur astronomer continue make scientific contribution field astronomy one scientific discipline amateur still make significant contribution,0.115,0.024,0.861,0.941
1,white dwarf,white dwarf also call degenerate dwarf stellar core remnant compose mostly electron degenerate matter white dwarf dense mass comparable sun volume comparable earth white dwarf faint luminosity come emission residual third mold energy fusion take place white dwarf nearest know white dwarf siris eight point six light year small component serious binary star currently think eight white dwarf among hundred star system near sun unusual fitness white dwarf first recognize nineteen ten name white dwarf coin william law titan nineteen twenty two white dwarf think final evolutionary state star whose mass not high enough become neutron star black hole include ninety seven percent star milky way usually white dwarf compose carbon oxygen seal white dwarf mass progenitor eight ten point five solar masse sama core temperature sufficient fuse carbon not neon case knox edge neon magnesium white dwarf may form star low mass unable fuse helium hence helium white dwarf material white dwarf long undergo fusion reaction star source energy result can not support heat generate fusion gravitational collapse app support electron degenerate pressure cause extremely dance physics degenerate yield maximum mass non rotate white dwarf chorus acre limit approximately one point four four time beyond can not supported electron degenerate pressure white dwarf hot form source energy gradually cool radiate energy away mean radiation initially high color temperature last render time long time white dwarf cool material begin crystalline start core star low temperature mean longer amid significant heat light become cold black dwarf,0.078,0.065,0.857,0.3356
2,chimp,chimpanzee great ape find across central west africa along bonobos close live relative share ninety eight point seven percent genetic blueprint human champ also think share common ancestor live seven thirteen million year ago behavior chimpanzee highly social live community several dozen animal lead alpha male coalition male ally research show male female champ individual personality female trust timid groom e important part social life help chimpanzee bond remove tick dirt one another body although normally walk four knuckle walking chimpanzee stand walk upright chimpanzee long arm hand finger help climb tree swing branch branch dual use intelligent animal one specie know use tool chimpanzee shape use stick retrieve insect nest dig grabs log use stone smash open tasty nut employ leave sponge sock drinking water chimpanzee even teach use basic human sign language habitat diet chimpanzee wide range great ape though many population live tropical rainforest also find woodland grassland span thing central western africa usually sleep tree typically sturdy uganda ironwood tree offer firm stable place sleep build nest leave champ also eat tree though generally prefer fruit plant varied diet also include insect egg nut hundred thing relist neat know kill eat monkey small antelope even tortoise slam tree break open shell reproduction female chimpanzee give birth time year typically single infant cle mother fur later ride back time meaning age three five female reach reproductive age thirteen male not consider adult fifteen,0.164,0.052,0.784,0.9831
3,crypto,top four crypto exchange india buy two poker cheap crypto exchange apart gold crypto get major popularity among new generation term return offer cryptocurrency engineer investor first nee create online storage open crypto like bitcoin work third party along train crypto exchange exchange investor create exchange account via exchange service county need link investor bank account bank crypto via exchange one safe easy process however read security measure carefully important invest portfolio top represent exchange list select know go know go popular change country one old cryptocurrency exchange first current bitcoin space india start dunkirk outcome later shift operation bang hulu establish two thousand thirteen name keep bad not common western option camera investor high risk appetite could step exchange around one point four seven million register investor not go fix particular date time sell certain amount crypto know coin counter trade enable user trade bulk exchange also launch mobile app user friendly current yet consider one top crypto exchange india dump sex register user four million access two hundred cryptocurrencie like bitcoin ethereal ripple light coin many bitcoin illegal lily use starter launch two thousand eighteen casually mister start show interesting condition trade fee low compare exchange additionally investor get deposit withdrawal mrs free cost helpful option investor india trade directly indian rupees crypto exchange get reward alert list unicorn india two thousand twenty one track exam pay simple user friendly crypto exchange along security feature resemble outgoing transaction single click repay also give offer new investor register get trapeze hundred flashback first year five hundred offer generally attract new investor come field accord pay two third indians buy first bitcoin one popular crypto jp exchange bet experience since two thousand fourteen facilitate ten billion dollar worth transaction time visitor edict certainly unusual platform upgrade cryptocurrency name blue alex exchange inform maximum one billion block coin ever create investor buy wr in exchange available cryptocurrencie huge fail across platform web android ios play windows mac apps significantly security important profit globally discourage process complete within hour sign safely ensure right coverage protocol peer peer transaction edict zero fee deposit x p two service help restrict openwork money reply instantly ex act escort safekeepe transaction,0.225,0.065,0.71,0.9955
4,crypto_tax,india recently introduce crypto tax budget two thousand twenty two co product bring clarity not everyone happy expert believe thirty percent slab go increase tax burden cryptocurrency investor shell third return towards taxis cryptogram see marketplace call government propose taxation digital asset strong move towards recognize cryptocurrency emerge asset class however not player happy move note thirty percent slab high finance minister normal sitharaman tuesday introduce taxation virtual digital asset include cryptocurrencie non tangible token well government also introduce central bank digital currency popularly know city cbd see power blockchain technology two thousand twenty two twenty three big development today clarity crypto taxation add much need recognition crypto system india also development remove ambiguity bank provide financial service crypto industry overall good news -PRON- need go detail version budget understand fine detail mr pretty founder ceo undo dn cryptocurrency exchange visitor say welcome taxation move submit gupta co founder ceo hindi excel statement bring much need confidence industry add taxation virtual digital asset crypto step right direction encourage see government take positive step towards regulate digital asset change lot misconception around crypto asset pave way forward classify separate asset class kevin thomas co founder sac cone also note statement investor pay thirty percent tax return make trading investing cryptocurrencie digital asset the loss transfer virtual digital asset can not set income accord announcement government also propose provide tds payment make relation transfer virtual digital asset rate one percent concentration monetary threshold gift virtual asset also propose pose tax hand recipient first step towards legitimate legitimize digital asset market allow indian talent compete global counterpart high taxation counterproductive long run temporary measure contain unorganized trade transfer cryptocurrencie say heed ceo co founder easy fi network expert believe thirty percent lab go increase tax burden cryptocurrency investor shell third return towards taxis smooth would force people move traditional mode investment stock mutual fund not subject high thirty percent dex shear chandra crypto tell expert also point tedious rate make investment even care crypto trader multiple thing income tax thirty percent india still acceptable one person tds make tricky intraday trader india not see know coin cryptocurrency exchange tool indian express dot com yeah enter trading refer buy sell cryptocurrency day gilbert l cofounder chairman guardian link beyond live dog club nft platform also express disappointment humanity also go virtual asset lump one moment place component budget initially space get major roadblock investor community like good ecosystem show well understand regulation control element crypto require nested class taxation eventually adjust go develop ecosystem worldwide still classify non taxable asset imperative adjustment understanding crypto token different digital ft take consideration future amendment cc say,0.21,0.039,0.751,0.9976
5,crypto_means,crypto one big pond change mind doubt sell wish joking brand joke ample warning ignore crypto not real nothing back physical product know ice insurance company like microsoft google hardly trade regulation literary value give cryptocurrency price people willing pay mean hope buyer someone buy bag high price explain pond scheme cryptocurrency worth hold onto point dodge coin even start get skeptical thought let talk big useless pond scheme go crash burn ninety nine ninety nine percent reading get crypto nine year clearly joke sorry not say say recent fifty one mainstream medium article video call bitcoin joking point want see guy get know understand understand crypto must pyramid scheme also hear two plus two equal five bitcoin not go anywhere neither ethidium anyway bear market bring serious question interest one cryptocurrency create within two thousand eight financial crisis one credit great say answer question lie perpetuate crypto market right cryptocurrency wale investor among -PRON- ordinarily money control crypto not forget politic couple big play throw towel entire portfolio worth less pocket length,0.201,0.111,0.688,0.9439
6,digital_token,token next word pawnshop lieu small change next time visit imagine digitally cryptocurrency big difference owner issuer would institute accept global cryptocurrency digital virtual go go epigraphy make next impossible counterfeit minister design use medium exchange buy good service cryptocurrencie decentralize mean authority regulate build blockchain network technology ensure transparency help track every transaction currency theoretically immune government interference kind manipulation cryptocurrency not underlie econ comic base vr information tool plus digital structure facilitate cerebral portability across geographical border visibility transparency however often criticize possibility misuse illegal activity exchanger volatility one credibility often infrastructure underlie cryptocurrencie work progressive work use technology call blockchain token use form payment exchange online good service carry upgrade mine store value like fiat currency like us dollar indian rupee pregnancy digitally mine sophisticated computer solve complex computational mathematic mathematic problem mining pain take costly sporadically rewarding,0.212,0.091,0.697,0.9584
7,cryptocurrency,run cryptocurrency price last december also dignify divergence garden accord new research report bitwise asset management difference return top bottom perform coin drag bit vice index rise seventy four point nine percent december average price difference top bottom perform coin entire year three hundred percent wage report page case diversification within crypto investing drag price top ten readable cryptocurrencie year start march twenty seventeen period three coin repulse could grow bernie rp counterpart stellar xml chinese coin neal provide maximum return investor together responsible next bangladesh choose nine twelve month drag broadway release resurrection clear signal grader inherent volatility cryptocurrency meat market make impossible rely signal example except pea do street eighty percent may twenty seventeen quickly slide negative thirty six point one percent july cryptocurrency space time period fall one fall forty cent pos new level fifteen cent august bitcoin return live hype despite pain despite penchant generating headline due express volatility bitcoin top list maximum return july even provide early return compare point forty fifteen two percent mature assert would expect bitcoin low end return say matt hogan vice president research development bitwise accord reason behind poland new success hide synthetic due combination news development clever marketing partnership coin still report state massive variability return top ten cryptocurrencie consistency relation top coin one month lead mean cop range month follow report whose main thrust argument diversification cryptocurrency investment state accord adviser martaban two reason dispersion return among crippled first one inherent volatility cryptocurrencie compare stock bond second reason accord market understanding present surpasse average investor difference centrally control two percent like ripple truly distribute crypto asset like bitcoin immense hogan say market realize return reflect recent time also report bitcoin correlation cryptocurrencie specifically bloomberg report bitcoin price correlation go cryptocurrency market crash decline researched adviser report reach different conclusion view politically light analysis coalition strongly support idea return individual coin heterogeneous report state,0.139,0.062,0.799,0.9694
8,dodo,todo extinct flightless bird endemic island vicious east madagascar indian ocean close live relative todo nicolas pigeon sub fossil remain show todo one meter dull may weigh ten point six seventeen point five kilogram alm wild todo appearance life evidence drawing painting write account seventeenth century since portrait vary considerably since illustration know draw live specimen todo exact appearance life maine unresolve little know behavior depict brownish grey plumage yellow foot cuft tail feather grey naked head black yellow green beak use wizard stone help digest food think include fruit main habitat believe wood dryer coastal area mauritius one account state clutch consist single egg presume todo become flightless ready availability abundant food source relative absence predator riche extinction todo within less century discovery call attention previously unrecognized problem human involvement disappearance entire specie addition fall fruit todo probably submit nuts seed bulb root also suggest dough do may eaten crabs shellfish like relative crown pigeon,0.06,0.061,0.879,-0.2732
9,dolphin,dolphin small toothed cetacean easily recognizable curved mouth give permanent smile thirty six dolphin specie find every ocean dolphin marine live ocean brackish water along coastline specie however lie south asian river dolphin amazon river dolphin both live freshwater stream river large dolphin orca grow thirty foot long small mai dolphin five foot long dolphin feed chiefly fish squid track use echo location build sonar bounce sound wave prey reveal information like location size shape echolocating bottle nose dolphin make thousand click noise per second living pods number dozen dolphin intensely social mammal communicate speak whistle click whether dolphin language human topic scientist debate decade mammal warm blood nurse young dolphin one mate generous lee produce single offspring stay mother six year depend specie dolphin graceful sleek swimmer reach speed eighteen mile hour also playful often erotic boat wake leaping water possibly fun communicate eight even shed desk parasite centurie people hunt dolphin meat rubber today main threat come catch accidentally commercial fishing net dolphin must rise regularly surface breathe become entangle net prevent lead drown ing main dolphin warm ocean temperature climate change cause primary food source move deep cool water furthermore marine heat wave also cause climate change appear negative effect dolphin reproductive rate ability survive addition hunting entanglement fishing gear freshwater dolphin face additional threat dam fragment degrade habitat,0.132,0.077,0.791,0.7906
